sep=|
"Name"|"Current balance"|"Account"|"Transfers"|"Description"|"Payee"|"Category"|"Date"|"Time"|"Memo"|"Amount"|"Currency"|"Check #"|"Tags"
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Fixo, Utilidades > TICs > Celulares, Utilidades > TICs > Internet, Utilidades > TICs > TV"|"09/05/2019"|"12:00"|""|"-651,76"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"PAG BOLETO"|""|""|"09/05/2019"|"12:00"|""|"-2.336,89"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CRED TEV"|""|"Vendas > Roupas"|"09/02/2019"|"12:00"|""|"100,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"09/02/2019"|"12:00"|""|"9.029,09"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|"Mar.Carteira"|"SAQUE ATM"|""|""|"08/27/2019"|"12:00"|""|"-310,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"PAG BOLETO"|"FGV"|"Educacao > Cursos"|"08/26/2019"|"12:00"|""|"-3.139,00"|"BRL"|""|"Patrícia; "
""|""|"Mar.Caixa.0863.204081"|""|"PG LUZ/GAS"|"Gov - Ceb"|"Utilidades > Eletricidade"|"08/12/2019"|"12:00"|""|"-161,86"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"PAG BOLETO"|""|""|"08/12/2019"|"12:00"|""|"-2.859,89"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Internet, Utilidades > TICs > Celulares, Utilidades > TICs > TV, Utilidades > TICs > Fixo"|"08/05/2019"|"12:00"|""|"-231,45"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Empr Feito d Luzia.20110922"|"PAG BOLETO"|""|""|"08/01/2019"|"12:00"|""|"-256,50"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"PAG BOLETO"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"08/01/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Helena; "
""|""|"Mar.Caixa.0863.204081"|""|"GR Luiza"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"08/01/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Luíza; "
""|""|"Mar.Caixa.0863.204081"|""|"PAG BOLETO"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"08/01/2019"|"12:00"|""|"-2.187,48"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Empr Feito d Luzia.20110922"|"PG LUZ/GAS"|""|""|"08/01/2019"|"12:00"|"Conta de luz samambaia"|"-17,64"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Conta de Luz"|"Gov - Ceb"|"Utilidades > Eletricidade"|"08/01/2019"|"12:00"|""|"-100,40"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"CRED TEV"|""|"Vendas > Roupas"|"08/01/2019"|"12:00"|""|"110,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"08/01/2019"|"12:00"|""|"9.012,96"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"Giro Externo (expense)"|"Cordyoga"|"Gastos Gerais > Giro Externo (expense)"|"07/31/2019"|"12:00"|"Cinta cirurgia da minha mae"|"-350,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Cursos"|"FGV"|"Educacao > Cursos"|"07/26/2019"|"12:00"|""|"-180,00"|"BRL"|""|"Patrícia; "
""|""|"Mar.Caixa.0863.204081"|"Empr Feito d Luzia.20110922"|"PAG BOLETO"|""|""|"07/12/2019"|"12:00"|"Condominio samambaia atrasado 201902"|"-323,34"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Conta de Agua"|"Gov - Caesb"|"Utilidades > Agua"|"07/10/2019"|"12:00"|""|"-96,31"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"PAG BOLETO"|""|""|"07/10/2019"|"12:00"|""|"-1.609,33"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > TV, Utilidades > TICs > Fixo, Utilidades > TICs > Internet, Utilidades > TICs > Celulares"|"07/05/2019"|"12:00"|""|"-440,44"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Ginastica Helena"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"07/04/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Helena; "
""|""|"Mar.Caixa.0863.204081"|""|"Ginastica Luiza"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"07/04/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Luíza; "
""|""|"Mar.Caixa.0863.204081"|""|"Escola Mensalidade"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"07/04/2019"|"12:00"|""|"-2.187,48"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CRED TEV"|""|"Vendas > Roupas"|"07/03/2019"|"12:00"|""|"110,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"07/01/2019"|"12:00"|""|"9.039,86"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"Parque"|"Mega Mundo"|"Diversao > Parque"|"06/28/2019"|"12:00"|"Colonia de ferias"|"-855,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Conta de Luz"|"Gov - Ceb"|"Utilidades > Eletricidade"|"06/10/2019"|"12:00"|""|"-120,10"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"Conta de Agua"|"Gov - Caesb"|"Utilidades > Agua"|"06/10/2019"|"12:00"|""|"-117,49"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"PAG BOLETO"|""|""|"06/10/2019"|"12:00"|""|"-1.607,92"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.Shoptime"|"PAG BOLETO"|""|""|"06/10/2019"|"12:00"|""|"-264,13"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CRED TEV"|""|"Vendas > Roupas"|"06/10/2019"|"12:00"|""|"25,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Fixo, Utilidades > TICs > Celulares, Utilidades > TICs > TV, Utilidades > TICs > Internet"|"06/05/2019"|"12:00"|""|"-451,91"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Ginastica Luiza"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"06/05/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Luíza; "
""|""|"Mar.Caixa.0863.204081"|""|"Ginastica Helena"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"06/05/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Helena; "
""|""|"Mar.Caixa.0863.204081"|""|"Escola Mensalidade"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"06/05/2019"|"12:00"|""|"-2.187,48"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CRED TEV"|""|"Vendas > Roupas"|"06/05/2019"|"12:00"|""|"110,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"06/03/2019"|"12:00"|""|"9.039,86"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"DOC/TED INTERNET"|"Caixa Economica Federal"|"Banco > Juros Atrasos Etc"|"05/29/2019"|"12:00"|""|"-9,50"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Pat.BB.28835.220256"|"TED Patricia"|""|""|"05/29/2019"|"12:00"|""|"-500,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Impostos:IPTU/Casa 708 Sul"|"Gov - Df"|"Impostos > IPTU"|"05/24/2019"|"12:00"|"Iptu 2019"|"-1.723,42"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"Hospedagem"|"Rancho dos Canários"|"Diversao > Hospedagem"|"05/16/2019"|"12:00"|""|"-600,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"PAG BOLETO"|""|"Criancas > Esportes"|"05/15/2019"|"12:00"|"Corrida pao de acucar"|"-108,92"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"AP LOTERIA"|""|"Gastos Gerais > Loteria"|"05/13/2019"|"12:00"|""|"-10,50"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"PG ORG GOV"|"GDF"|"Impostos > IPTU"|"05/08/2019"|"12:00"|""|"-306,14"|"BRL"|""|"Residencial Par3; "
""|""|"Mar.Caixa.0863.204081"|"Mar.Shoptime"|"PAG BOLETO"|""|""|"05/08/2019"|"12:00"|""|"-59,90"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CP MAESTRO"|""|"Vestuario > Bijuterias"|"05/07/2019"|"12:00"|""|"-1.100,00"|"BRL"|""|"Patrícia; "
""|""|"Mar.Caixa.0863.204081"|""|"CRED TEV"|""|"Devolucao Emprestimo"|"05/07/2019"|"12:00"|""|"20,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Celulares, Utilidades > TICs > Internet, Utilidades > TICs > TV, Utilidades > TICs > Fixo"|"05/06/2019"|"12:00"|""|"-446,63"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Pat.Nubank"|"PAG BOLETO"|""|""|"05/06/2019"|"12:00"|""|"-4.611,71"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"PAG BOLETO"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"05/06/2019"|"12:00"|""|"-2.187,48"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CRED TEV"|""|"Devolucao Emprestimo"|"05/06/2019"|"12:00"|""|"10,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"DP DINH AG"|""|"Devolucao Emprestimo"|"05/06/2019"|"12:00"|""|"5.000,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Other"|""|"Mercado > Superfluos > Other"|"05/02/2019"|"12:00"|""|"-50,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"05/02/2019"|"12:00"|""|"9.039,86"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"CP MAESTRO"|""|"Automovel > Combustivel > Gasolina"|"04/25/2019"|"12:00"|""|"-241,89"|"BRL"|""|"Mitsubishi Outlander 2015; "
""|""|"Mar.Caixa.0863.204081"|"Pat.Nubank"|"PAG BOLETO"|""|""|"04/25/2019"|"12:00"|""|"-300,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"PAG AGUA"|"Gov - Caesb"|"Utilidades > Agua"|"04/25/2019"|"12:00"|""|"-116,76"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|"Mar.Carteira"|"SAQUE ATM"|""|""|"04/25/2019"|"12:00"|""|"-300,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TED"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"04/08/2019"|"12:00"|""|"-2.187,48"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"PAG BOLETO"|"Condominio Par3"|"Utilidades > Condomínio"|"04/08/2019"|"12:00"|""|"-256,50"|"BRL"|""|"Residencial Par3; "
""|""|"Mar.Caixa.0863.204081"|""|"PAG BOLETO"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"04/08/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Helena; "
""|""|"Mar.Caixa.0863.204081"|""|"PAG BOLETO"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"04/08/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Luíza; "
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"PAG BOLETO"|""|""|"04/08/2019"|"12:00"|""|"-3.550,46"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"PG LUZ/GAS"|"Gov - Ceb"|"Utilidades > Eletricidade"|"04/08/2019"|"12:00"|""|"-126,51"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"PG LUZ/GAS"|"Gov - Ceb"|"Utilidades > Eletricidade"|"04/08/2019"|"12:00"|""|"-17,64"|"BRL"|""|"Residencial Par3; "
""|""|"Mar.Caixa.0863.204081"|""|"PAG AGUA"|"Gov - Caesb"|"Utilidades > Agua"|"04/08/2019"|"12:00"|"201903"|"-93,21"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Fixo, Utilidades > TICs > Internet, Utilidades > TICs > TV, Utilidades > TICs > Celulares"|"04/05/2019"|"12:00"|""|"-439,64"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.Shoptime"|"PAG BOLETO"|""|""|"04/04/2019"|"12:00"|""|"-66,98"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"04/01/2019"|"12:00"|""|"9.039,86"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"CP MAESTRO"|""|"Automovel > Combustivel > Gasolina"|"03/28/2019"|"12:00"|""|"-211,77"|"BRL"|""|"Mitsubishi Outlander 2015; "
""|""|"Mar.Caixa.0863.204081"|"Mar.Caixa.0863.204081.Poup"|"RESG POUP"|""|""|"03/28/2019"|"12:00"|""|"200,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"GR Helena"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"03/14/2019"|"12:00"|""|"-148,18"|"BRL"|""|"Helena; "
""|""|"Mar.Caixa.0863.204081"|""|"GR Luiza"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"03/14/2019"|"12:00"|""|"-148,18"|"BRL"|""|"Luíza; "
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TEV"|""|"Lar > CamaMesaBanho"|"03/13/2019"|"12:00"|"Edineia guardanapos"|"-120,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.Carteira"|"SAQUE ATM"|""|""|"03/12/2019"|"12:00"|""|"-110,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CP MAESTRO"|"Cantina Sao Francisco"|"Criancas > Educacao > Refeição Lanches"|"03/11/2019"|"12:00"|""|"-395,68"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Pagamento conta luz - CEB"|"Gov - Ceb"|"Utilidades > Eletricidade"|"03/11/2019"|"12:00"|""|"-142,16"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"PAG BOLETO"|""|""|"03/11/2019"|"12:00"|""|"-6.704,80"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.Caixa.0863.204081.Poup"|"RESG POUP"|""|""|"03/11/2019"|"12:00"|""|"600,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.Caixa.0863.204081.Poup"|"RESG POUP"|""|""|"03/11/2019"|"12:00"|""|"1.500,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Celulares, Utilidades > TICs > Fixo, Utilidades > TICs > TV, Utilidades > TICs > Internet"|"03/06/2019"|"12:00"|""|"-392,74"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Pgto conta água - CAESB"|"Gov - Caesb"|"Utilidades > Agua"|"03/06/2019"|"12:00"|""|"-61,75"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|"Empr Feito d Luzia.20110922"|"PG LUZ/GAS"|""|""|"03/06/2019"|"12:00"|""|"-17,58"|"BRL"|""|"Residencial Par3; "
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"03/01/2019"|"12:00"|""|"5.874,23"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|"Mar.Caixa.0863.204081.Poup"|"APLIC POUP"|""|""|"02/21/2019"|"12:00"|""|"-28.000,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TED"|""|"Automovel > Maintenance"|"02/19/2019"|"12:00"|"martelinho"|"-500,00"|"BRL"|""|"Mitsubishi Outlander 2015; "
""|""|"Mar.Caixa.0863.204081"|""|"bluray, Material Escolar"|"Livraria Cultura"|"Tech > Audio Video > filmes > bluray, Criancas > Educacao > Material Escolar"|"02/08/2019"|"13:00"|"piratas do caribe a vinganca de salazar"|"-33,41"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"NuBank Marcelo"|""|""|"02/06/2019"|"13:00"|""|"-3.804,25"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Escola - Mensalidade"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"02/06/2019"|"13:00"|""|"-2.049,50"|"BRL"|""|"Helena; Luíza; "
""|""|"Mar.Caixa.0863.204081"|""|"Pagamento conta luz - CEB"|"Gov - Ceb"|"Utilidades > Eletricidade"|"02/06/2019"|"13:00"|""|"-127,53"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|"Empr Feito d Luzia.20110922"|"Pagamento Conta Luz - Samambaia"|""|""|"02/06/2019"|"13:00"|""|"-17,29"|"BRL"|""|"Residencial Par3; "
""|""|"Mar.Caixa.0863.204081"|""|"Pgto conta água - CAESB"|"Gov - Caesb"|"Utilidades > Agua"|"02/06/2019"|"13:00"|""|"-104,37"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Fixo, Utilidades > TICs > Internet, Utilidades > TICs > Celulares, Utilidades > TICs > TV"|"02/05/2019"|"13:00"|""|"-386,10"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.Carteira"|"SAQUE B24H"|""|""|"02/05/2019"|"13:00"|""|"-20,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CP MAESTRO"|""|"Diversao > Comer Fora"|"02/01/2019"|"13:00"|""|"-9,35"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"02/01/2019"|"13:00"|""|"9.069,59"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"Seguro"|"Allianz"|"Automovel > Seguro"|"01/30/2019"|"13:00"|""|"-2.793,51"|"BRL"|""|"Mitsubishi Outlander 2015; "
""|""|"Mar.Caixa.0863.204081"|""|"PG ORG GOV"|"Gov - Detran"|"Impostos > Licenciamento"|"01/30/2019"|"13:00"|""|"-72,85"|"BRL"|""|"Mitsubishi Outlander 2015; "
""|""|"Mar.Caixa.0863.204081"|""|"Seguro Obrigatorio"|"Gov - Detran"|"Impostos > Seguro Obrigatorio"|"01/30/2019"|"13:00"|""|"-16,77"|"BRL"|""|"Mitsubishi Outlander 2015; "
""|""|"Mar.Caixa.0863.204081"|""|"Comer Fora"|""|"Diversao > Comer Fora"|"01/29/2019"|"13:00"|""|"-7,74"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.Carteira"|"SAQUE ATM"|""|""|"01/29/2019"|"13:00"|""|"-300,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Gasolina"|"Posto SESC ES"|"Automovel > Combustivel > Gasolina"|"01/21/2019"|"13:00"|""|"-229,93"|"BRL"|""|"Mitsubishi Outlander 2015; Viagem ES 201901; "
""|""|"Mar.Caixa.0863.204081"|""|"Gasolina"|""|"Automovel > Combustivel > Gasolina"|"01/16/2019"|"13:00"|""|"-70,53"|"BRL"|""|"Mitsubishi Outlander 2015; "
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"NuBank Marcelo"|""|""|"01/10/2019"|"13:00"|""|"-5.327,03"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Jogos"|""|"Tech > Audio Video > Video Games > Jogos"|"01/08/2019"|"13:00"|"The Witcher 3 - Complete Edition
Nycholas Chauan de Carvalho"|"-70,00"|"BRL"|""|"PS4; "
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Celulares, Utilidades > TICs > Internet, Utilidades > TICs > Fixo, Utilidades > TICs > TV"|"01/07/2019"|"13:00"|""|"-388,71"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"01/02/2019"|"13:00"|""|"21.342,47"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"Presentes Dados"|""|"Presentes Dados"|"12/10/2018"|"13:00"|"contribuicao tia jaqueline"|"-50,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Pat.Nubank"|"PAG BOLETO"|""|""|"12/07/2018"|"13:00"|"201812"|"-585,42"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"PAG BOLETO"|""|""|"12/07/2018"|"13:00"|"201812"|"-1.066,90"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Creche Luíza"|"Creche Pao De Santo Antonio"|"Criancas > Educacao > Creche - Mensalidade"|"12/07/2018"|"13:00"|"201812"|"-1.080,00"|"BRL"|""|"Luíza; "
""|""|"Mar.Caixa.0863.204081"|""|"PG LUZ/GAS"|"Gov - Ceb"|"Utilidades > Eletricidade"|"12/07/2018"|"13:00"|"201812"|"-112,76"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"PG LUZ/GAS"|"Gov - Ceb"|"Utilidades > Eletricidade"|"12/07/2018"|"13:00"|"201812"|"-17,70"|"BRL"|""|"Residencial Par3; "
""|""|"Mar.Caixa.0863.204081"|""|"PAG AGUA"|"Gov - Caesb"|"Utilidades > Agua"|"12/07/2018"|"13:00"|"201812"|"-82,75"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Celulares, Utilidades > TICs > Internet, Utilidades > TICs > TV, Utilidades > TICs > Fixo"|"12/05/2018"|"13:00"|""|"-386,42"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"Salario Marcelo"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"12/03/2018"|"13:00"|""|"12.198,20"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TED"|"Hotel Parque Das Primaveras"|"Diversao > Hospedagem"|"11/12/2018"|"13:00"|""|"-907,50"|"BRL"|""|"Viagem Caldas Novas 201811; "
""|""|"Mar.Caixa.0863.204081"|""|"Pgto conta água - CAESB"|"Gov - Caesb"|"Utilidades > Agua"|"11/12/2018"|"13:00"|""|"-93,74"|"BRL"|""|"Casa 708 Sul; "
